Category,Activity
واقعي,أستمتع بالمشاركة في الأنشطة الرياضية مثل كرة القدم أو السباحة كرة الطائرة.
واقعي,أستمتع بالمشاركة في تحديات بدنية مثل سباقات الجري أو التمارين الرياضية.
واقعي,أشعر بالسعادة عند المساهمة في تنظيم الأنشطة الرياضية المدرسية.
واقعي,أحب المشاركة في الأعمال التطوعية التي تهدف إلى تحسين البيئة المدرسية.
واقعي,أشعر بالراحة عند العمل على تنظيم مسابقات رياضية.
واقعي,أستمتع بالمشاركة في أنشطة الميدان مثل تنظيف أو زراعة المساحات الخارجية.
تحليلي,أحب المشاركة في المعارض العلمية التي تعرض الابتكارات.
تحليلي,أشعر بالإنجاز عندما أتعلم شيئًا جديدًا من خلال التجارب العلمية.
تحليلي,أستمتع بالمشاركة في مسابقات الروبوتات أو البرمجة.
تحليلي,أحب الأنشطة التي تتيح لي تحليل البيانات أو إيجاد حلول للمشكلات.
تحليلي,أحب حضور ورش العمل العلمية التي تقدم معلومات جديدة.
تحليلي,أستمتع بالمشاركة في أنشطة تشرح الظواهر الطبيعية مثل تجارب الفيزياء.
فني,أحب المشاركة في الأنشطة الفنية مثل الرسم أو النحت.
فني,أستمتع بالمشاركة في المسرحيات أو العروض الفنية المدرسية.
فني,أحب الأنشطة الإبداعية مثل كتابة القصص أو التصوير.
فني,أحب العمل على مشاريع فنية جماعية مثل تزيين الفصول.
فني,أحب الأنشطة التي تجمع بين التكنولوجيا والفن مثل التصميم الرقمي.
فني,أحب الكتابة الإبداعية مثل كتابة الشعر أو النصوص المسرحية.
اجتماعي,أحب الأنشطة التي تركز على مساعدة زملائي في تحسين أدائهم الدراسي.
اجتماعي,أستمتع بالمشاركة في تنظيم ورش عمل تدريبية للطلاب الجدد.
اجتماعي,أشعر بالسعادة عند المشاركة في الأنشطة الخيرية التي تخدم المجتمع المحلي.
اجتماعي,أحب العمل مع زملائي لتنظيم أنشطة تطوعية داخل المدرسة.
اجتماعي,أستمتع بالمشاركة في الرحلات المدرسية.
اجتماعي,أشعر بالسعادة عندما أساعد زملائي في فهم مواضيع دراسية صعبة.
ريادي,أحب أن أكون قائداً لفريق يعمل على تنظيم فعاليات مدرسية.
ريادي,أستمتع بابتكار أفكار جديدة لأنشطة مدرسية ممتعة.
ريادي,أحب الأنشطة التي تعتمد على روح المنافسة مثل المناظرات.
ريادي,أشعر بالفخر عند المساهمة في تنظيم فعاليات ريادية مبتكرة.
ريادي,أرى أن الأنشطة التي تتطلب قيادة الفريق ممتعة ومفيدة.
ريادي,أحب المشاركة في مسابقات تنمية مهارات القيادة والإقناع.
تقليدي,أحب ترتيب الملفات أو إعداد قوائم للمشاركين في الأنشطة المدرسية.
تقليدي,أحب تسجيل الحضور أو متابعة سجلات الطلاب في الأنشطة.
تقليدي,أستمتع بالمشاركة في تنظيم البيانات وتحليلها لأنشطة المدرسة.
تقليدي,أحب العمل على إعداد تقارير عن نجاح الفعاليات التي أشارك فيها.
تقليدي,أشعر بالراحة عند أداء مهام إدارية تساهم في تنظيم الأنشطة.
تقليدي,أحب متابعة جداول الحصص أو الأحداث المدرسية وتنسيقها.
