Category,Question
واقعي,أستمتع بالأنشطة التي تتطلب استخدام اليدين في العمل.
واقعي,أستمتع بالعمل مع الأدوات الميكانيكية.
واقعي,أفضّل العمل في البيئات الخارجية على العمل في مكاتب مغلقة.
واقعي,أحب العمل في المهام التي تتطلب قوة بدنية.
واقعي,أستمتع بالتعامل مع المعدات والأجهزة التقنية.
واقعي,أفضّل العمل في الوظائف التي تشمل استخدام الآلات.
واقعي,أستمتع بإصلاح الأشياء التي تعطلت.
واقعي,أحب العمل في مجالات البناء أو التصنيع.
واقعي,أستمتع بالأنشطة التي تتطلب قدرًا من المخاطرة الجسدية.
واقعي,أفضّل العمل مع المواد الملموسة مثل المعادن أو الخشب.
واقعي,أحب العمل في الأماكن التي تتطلب الجهد البدني.
واقعي,أستمتع بالأنشطة التي تتضمن الصيانة والإصلاحات.
واقعي,أفضّل الوظائف التي تشمل التعامل مع الحيوانات.
واقعي,أحب التنقل في بيئات طبيعية مثل الغابات أو البحار.
واقعي,أفضّل العمل مع أدوات كهربائية أو معدات صناعية.
واقعي,أستمتع بالأنشطة التي تتطلب التنسيق بين الحركات اليدوية والعقلية.
واقعي,أحب المشاريع التي تتضمن تحسين أو بناء شيء من الصفر.
واقعي,أفضّل العمل في مجالات الزراعة أو التعدين.
واقعي,أستمتع بالحرف اليدوية أو البناء.
واقعي,أفضّل النشاطات التي تشمل حركة جسدية مستمرة.
تحليلي,أحب حل الألغاز والمسائل المعقدة.
تحليلي,أستمتع بالبحث العلمي وحل المشكلات من خلال التجربة.
تحليلي,أحب تعلم أشياء جديدة واكتشاف الحقائق.
تحليلي,أفضّل الأنشطة التي تتطلب التفكير النقدي والتحليل.
تحليلي,أستمتع بقراءة الكتب أو المقالات العلمية.
تحليلي,أعتقد أن اكتشاف المعلومات المجهولة هو أمر مثير.
تحليلي,أحب البحث في المواضيع التي تتطلب قدرًا كبيرًا من التفكير المنطقي.
تحليلي,أفضّل حل المشكلات التي تتطلب استخدام الرياضيات أو العلوم.
تحليلي,أحب القيام بالتجارب العلمية أو البحث الأكاديمي.
تحليلي,أستمتع بتحليل البيانات وتفسير النتائج.
تحليلي,أحب مناقشة الأفكار الفلسفية أو النظرية.
تحليلي,أفضّل المهام التي تتطلب استكشاف الأسباب والنتائج.
تحليلي,أستمتع بالعمل الذي يتطلب تحليلاً علميًا.
تحليلي,أفضّل الوظائف التي تتضمن البحث عن حلول للمشكلات.
تحليلي,أحب تعلم أشياء جديدة في مجالات العلوم والتكنولوجيا.
تحليلي,أستمتع بمحاولة فك شفرات أو رموز معقدة.
تحليلي,أعتقد أن المعرفة هي أداة قوية لفهم العالم من حولي.
تحليلي,أستمتع بتطوير أفكار جديدة وتحليل نظريات مختلفة.
تحليلي,أفضّل العمل الذي يتطلب تحليل المعلومات المعقدة.
تحليلي,أحب تعلم كيفية عمل الأشياء بطريقة علمية.
فني,أستمتع برسم اللوحات أو القيام بالأعمال الفنية.
فني,أحب كتابة القصص أو الشعر.
فني,أفضّل العمل الذي يتطلب الإبداع والتخيل.
فني,أحب التقاط الصور أو إنتاج الأفلام.
فني,أستمتع بتصميم الأزياء أو الملابس.
فني,أحب أن أكون في بيئة فنية أو ثقافية.
فني,أستمتع بالأنشطة التي تتطلب التعبير عن نفسي من خلال الفن.
فني,أحب تصميم الغرف أو المساحات الداخلية.
فني,أستمتع بتأليف الموسيقى أو العزف على الآلات الموسيقية.
فني,أستمتع بالأنشطة التي تتضمن الرقص أو الأداء.
فني,أحب التعبير عن نفسي من خلال الكتابة الإبداعية.
فني,أستمتع بتطوير أفكار جديدة في الفن أو التصميم.
فني,أفضّل العمل في المجالات التي تتطلب الخيال والإبداع.
فني,أحب العمل في بيئات تشجع على الفن والابتكار.
فني,أستمتع بتطوير مشروع فني من الصفر.
فني,أستمتع بالأنشطة التي تتطلب استخدام الألوان والأشكال.
فني,أفضّل العمل في مجال يتطلب تصاميم فنية.
فني,أحب العمل في مشاريع تتضمن التعبير عن الذات.
فني,أستمتع بالأعمال التي تتطلب إبداعًا وفكرًا غير تقليدي.
فني,أفضّل الأنشطة التي تتطلب التفكير الجمالي والإبداعي.
اجتماعي,أستمتع بمساعدة الآخرين في حل مشكلاتهم الشخصية.
اجتماعي,أحب العمل مع الآخرين لتحقيق هدف مشترك.
اجتماعي,أستمتع بالتفاعل مع الآخرين في المواقف الاجتماعية.
اجتماعي,أحب التحدث مع الناس ومساعدتهم في اتخاذ قراراتهم.
اجتماعي,أستمتع بتوجيه وإرشاد الآخرين.
اجتماعي,أفضّل العمل في بيئات تعاونية.
اجتماعي,أحب العمل مع الأطفال أو الشباب.
اجتماعي,أستمتع بتعليم الآخرين أو تقديم المعلومات.
اجتماعي,أستمتع بالعمل في مجالات الرعاية الصحية أو الاجتماعية.
اجتماعي,أفضّل العمل مع فريق من الأشخاص لتحقيق النجاح.
اجتماعي,أستمتع بالاستماع إلى مشاعر وآراء الآخرين.
اجتماعي,أحب تقديم الدعم العاطفي للآخرين.
اجتماعي,أستمتع بتقديم المشورة للأشخاص في مواقف حياتية.
اجتماعي,أحب التدريس أو تدريب الآخرين.
اجتماعي,أستمتع بإجراء محادثات مع الناس حول قضايا اجتماعية.
اجتماعي,أفضّل الوظائف التي تتطلب التعامل مع الأشخاص بشكل مستمر.
اجتماعي,أستمتع بالعمل في الأنشطة الجماعية مثل المنظمات التطوعية.
اجتماعي,أحب إرشاد الآخرين خلال التحديات.
اجتماعي,أستمتع بمساعدة الآخرين في تعلم مهارات جديدة.
اجتماعي,أحب العمل في المجالات التي تتطلب مساعدة الآخرين على النمو الشخصي.
ريادي,أحب قيادة الفرق وتحفيز الآخرين لتحقيق أهدافهم.
ريادي,أستمتع باتخاذ القرارات الهامة في العمل.
ريادي,أحب التحدث أمام الجمهور أو تقديم العروض.
ريادي,أستمتع بتطوير مشاريع جديدة أو أفكار تجارية.
ريادي,أعتقد أن النجاح يعتمد على القدرة على التأثير في الآخرين.
ريادي,أستمتع بتحديات بيئات العمل التي تتطلب قيادة الفريق.
ريادي,أحب العمل في المبيعات أو التسويق.
ريادي,أستمتع بإنشاء مشاريع جديدة أو فرصة عمل.
ريادي,أفضّل العمل في المجالات التي تتطلب التفاوض أو اتخاذ قرارات سريعة.
ريادي,أستمتع بممارسة الأنشطة التي تتطلب المبادرة والعمل بسرعة.
ريادي,أحب اتخاذ المسؤوليات واتخاذ القرارات الصعبة.
ريادي,أستمتع بالمشاريع التي تتطلب إقناع الآخرين.
ريادي,أحب تقديم حلول مبتكرة في المواقف الصعبة.
ريادي,أستمتع بممارسة الأعمال التي تتطلب مهارات قيادية.
ريادي,أحب أن أكون في مكان يمكنني فيه التأثير على الآخرين.
ريادي,أستمتع بالتسويق للمنتجات أو الأفكار الجديدة.
ريادي,أحب الأنشطة التي تتطلب طموحًا قويًا وتحقيق النجاح.
ريادي,أستمتع بتحديات العمل التي تتطلب منافسة.
ريادي,أفضّل العمل في بيئات سريعة الحركة ومتغيرة.
ريادي,أحب القيام بأنشطة تجارية أو ريادية.
تقليدي,أحب تنظيم الملفات والبيانات بشكل مرتب.
تقليدي,أستمتع بتنظيم الأعمال اليومية وفقًا للجدول الزمني.
تقليدي,أفضّل العمل في بيئات منظمة ومرتبة.
تقليدي,أستمتع بالأنشطة التي تتطلب الدقة والتركيز على التفاصيل.
تقليدي,أحب إتمام المهام التي تتطلب الانضباط والالتزام بالقواعد.
تقليدي,أستمتع بالعمل الذي يتطلب تنظيم الموارد والمعلومات.
تقليدي,أحب العمل في الوظائف التي تشمل الحسابات أو الإدارة.
تقليدي,أستمتع بإعداد التقارير أو الوثائق.
تقليدي,أحب الأنشطة التي تتطلب التفاعل مع الأنظمة أو القواعد.
تقليدي,أستمتع بتحديد وتنظيم الأنشطة اليومية.
تقليدي,أفضّل العمل الذي يتطلب متابعة الإجراءات والروتين.
تقليدي,أستمتع بإنشاء قوائم أو جداول لتنظيم الأمور.
تقليدي,أحب التفاعل مع الأرقام والبيانات.
تقليدي,أستمتع بالوظائف التي تتطلب تقديم التقارير أو البيانات.
تقليدي,أحب العمل في بيئات تتسم بالروتين والنظام.
تقليدي,أفضّل العمل الذي يتطلب انتباهًا شديدًا للتفاصيل.
تقليدي,أستمتع بتحديد الأولويات وتنظيم المهام.
تقليدي,أحب العمل في وظائف تتطلب احترام القواعد والسياسات.
تقليدي,أستمتع بالوظائف التي تتطلب إدارة الوقت والتخطيط.
تقليدي,أفضّل العمل في بيئات تتسم بالاستقرار والروتين.
